"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Bin.9.62"," 0.7721264","-0.1299494"," 0.5296498"," 0.8784674"," 0.5684331","-2.7183128"," 0.6041463","-3.2747569"," 0.7217814"," 0.3781909","-2.7765741"," 0.3788230","-2.7344959","-0.1856429"," 0.3826423"," 0.6818182"," 0.6273863"," 0.6139001"," 0.6198985"," 0.3775600","-0.1181953"," 0.4301980"," 0.7421599","-0.1181953"," 0.7872858"," 0.6820905"," 0.7132588"," 1.3200806"," 1.2482330"," 0.3820026"," 0.4446394"," 0.3373433","-3.2461899"," 0.9682186"," 0.5836816"," 0.7651612","-3.0496342"," 0.5690063"," 0.9659399"," 0.8673309"," 0.3664121"," 0.5033692"," 0.9330641"," 0.8615465"," 0.8161964","-2.7041656"," 0.7528582","-3.3954590","-0.1305898"," 0.4072606"
"Bin.9.58"," 0.694427194"," 0.535671201"," 0.674461731"," 0.095187762"," 0.711399720","-2.418961712"," 0.534448949"," 0.582586320"," 0.734039696"," 0.040801180","-2.685420554"," 0.530811378","-2.768754175","-0.006797084","-2.410927872"," 0.695978762"," 0.556581235"," 0.878115740"," 0.760416446"," 0.863984831"," 0.546898201"," 0.579741904"," 0.542482789"," 0.546898201"," 0.585457576"," 0.943062511"," 1.004817325"," 1.350788964"," 1.244806059"," 0.533839659","-2.804357453"," 0.002033674","-3.157064052"," 1.168657788"," 0.514959956"," 0.476835518","-2.611106770"," 0.711945669"," 1.043073064"," 1.063995696"," 1.151907321"," 1.071381296"," 0.956267196","-2.779482155"," 1.015294042","-2.827427261"," 0.552670967","-3.119383801"," 0.535059462"," 0.557895905"
"Bin.9.54"," 0.8199748"," 0.1901173"," 0.8005738"," 0.9183906"," 0.8364676","-2.4104046"," 0.8695200","-2.4493775"," 0.8584675"," 0.6603992"," 0.2505092"," 0.6609842","-2.2203803","-2.3520511","-2.1975961"," 0.1410710"," 0.2103798"," 1.0835588"," 0.8840987"," 1.0698273"," 0.2009957","-2.2416087"," 0.6723257"," 0.6766163"," 0.9190907"," 1.1466699"," 1.1215907"," 1.6408779"," 1.2211100","-2.5219285"," 0.2461686"," 0.1471543","-2.9226401","-2.8450396"," 0.6455809"," 0.6085342","-2.1871162"," 0.6320005"," 1.1048393"," 1.2330220","-2.9631194"," 0.9812596"," 1.3789467"," 0.6977268"," 1.1856970"," 0.6592326"," 1.2121659","-2.8320991"," 0.8701133"," 0.6873031"
"Bin.9.50","-0.2273004"," 0.3412205"," 0.6165346"," 0.6142600"," 0.5257374"," 0.3483728"," 0.3399371","-3.1543905"," 0.5495097","-0.1783985"," 0.4066371"," 0.5576326","-2.9988785","-2.9196389","-0.1739604"," 0.5095453"," 0.3631763"," 0.5712068"," 0.5772055","-0.1790275","-2.7658133","-2.8002995"," 0.5698889"," 0.5745255"," 0.7446014"," 0.9322453"," 0.8338292"," 1.3266902"," 1.0858200"," 0.9119255","-0.1121143"," 0.8089879"," 0.6547487"," 0.3036537","-0.1943587"," 0.6305337","-2.7414173"," 0.3047990"," 0.9659412"," 0.9542371"," 1.1178621"," 0.6821935"," 1.2095172","-2.7886244"," 0.9523662"," 0.6853238"," 0.8021145","-3.5458947"," 0.6916778"," 0.7156588"
"Bin.9.46","-0.070481886","-0.590896379"," 0.303745933"," 0.301167371"," 0.200819630"," 0.250869010"," 0.573267885"," 0.298607034"," 0.478886212","-0.014846986"," 0.568041987","-0.014130373"," 0.269216432"," 0.179391651","-0.009800660","-0.068635334"," 0.414546499"," 0.001255651"," 0.510282561","-0.015562184","-3.530430609","-0.538575561"," 0.250869010"," 0.256125033"," 0.553145156"," 0.476562334"," 0.550067619"," 1.141725666"," 0.550067619","-0.010525883"," 0.562714060"," 0.587961610"," 0.598185718"," 0.200170963"," 0.469224539"," 0.172721907","-0.605143870","-3.475780567"," 0.699827770"," 0.790785486","-3.895212004"," 0.525072040"," 1.012201319"," 0.680002566"," 0.732816906"," 0.566791778"," 0.514116373","-4.414718657"," 0.493151498"," 0.520336129"
"Bin.9.42"," 0.09464218"," 0.14991183"," 0.42751566"," 0.55588471"," 0.33596331","-0.36107274"," 0.59534436","-3.46747845"," 0.49059490"," 0.14412910"," 0.73451513"," 0.36812376","-3.21796568","-3.13806706"," 0.14861778"," 0.61491332"," 0.39540985"," 0.38181080"," 0.68313835"," 0.66212840","-2.98296216","-0.32172443"," 0.38048194"," 0.16179835"," 0.55664745"," 0.67394231"," 0.70537181"," 1.07548114"," 0.83603615"," 0.59469920","-3.03229745"," 0.62156946"," 0.78212590"," 0.93858481"," 0.57470792"," 0.44163114","-2.95836326"," 0.33654133"," 0.85173798"," 0.86073452"," 0.65088574"," 0.62438395"," 0.97004964"," 0.53882233"," 0.91179615"," 0.66149341"," 0.52193174","-3.76953125"," 0.50328371"," 0.69208096"
"Bin.9.38"," 0.31981614","-0.03600133"," 0.16449199","-0.14338653"," 0.03958207","-0.20442655"," 0.26698361"," 0.51479262"," 0.25055375"," 0.18069868"," 0.05399849"," 0.26172860","-1.19394426","-0.59589237","-0.52076452","-0.28743953"," 0.12068845","-0.20261355"," 0.55515178"," 0.17983064","-0.50278195","-0.15060261","-0.02616114","-0.19804806"," 0.64542423"," 0.50070080"," 0.46342056"," 0.91334040"," 0.57877297"," 0.18594323","-1.14263870"," 0.02638736"," 0.52181493"," 0.28483719"," 0.23882868"," 0.18375039","-1.24324851"," 0.39690707"," 0.51868005"," 0.50257892"," 0.37113566"," 0.25481822"," 0.81339612"," 0.49462096"," 0.65682282","-0.04562610"," 0.41979141","-6.02320911"," 0.26786559"," 0.36863044"
"Bin.9.34"," 0.07157238"," 0.33867259"," 0.60480343"," 0.60260467"," 0.51703675","-0.36528902"," 0.46268819"," 0.17217159"," 0.66527384"," 0.45838473"," 0.18778717"," 0.61680202","-3.10398862","-2.81328442"," 0.55155987","-2.81590422"," 0.64295990"," 0.68624689"," 0.69204546"," 0.71952577","-0.36082020"," 0.38340543"," 0.62864923","-3.30695385"," 0.51446390"," 0.53803408"," 0.78229393"," 1.15474941"," 0.87116643"," 0.76507203","-2.92600172"," 0.41889425","-3.47337131"," 0.92480763"," 0.70465641"," 0.56201153","-2.85512629"," 0.51759087"," 0.87839733"," 0.95595659"," 0.53586895"," 0.73720499"," 1.11508656"," 0.83676517"," 0.95073465"," 0.54603774"," 0.82057320","-3.58511404"," 0.72505892"," 0.74823922"
"Bin.9.30","-0.11609906"," 0.06404818"," 0.13008526"," 0.37389327","-0.36613933"," 0.43228473"," 0.18740049"," 0.44264476"," 0.17274076"," 0.41646422"," 0.41627045","-0.05507222"," 0.31223010"," 0.08296736","-0.32229987"," 0.12368443"," 0.38670202"," 0.29398052"," 0.12801510"," 0.37435726","-0.30625304"," 0.12085437"," 0.29236281"," 0.23758166"," 0.12822162"," 0.34861524"," 0.33305213"," 0.66938204"," 0.22781344"," 0.42114374","-4.89739050"," 0.19732169"," 0.06413590"," 0.46492476"," 0.25688564"," 0.11313469","-0.33620135"," 0.20979856"," 0.31083403"," 0.40932398"," 0.04254720"," 0.02629989"," 0.66098017"," 0.52080682"," 0.44770019"," 0.05546029"," 0.30549526","-5.57532558"," 0.28279416"," 0.48954178"
"Bin.9.26","-0.4155397940"," 0.0553200540","-1.3767820252","-0.2617577114"," 0.0635291499"," 0.1273767255","-0.1020398232","-0.4524111136"," 0.5859723695"," 0.5085064914","-0.2416607771"," 0.4299982867"," 0.4711276192"," 0.2948256862"," 0.3738092070","-0.0928415534"," 0.3361758540"," 0.0675696588"," 0.3623399102"," 0.2550029553"," 0.3214717270"," 0.0510007710"," 0.2745534496"," 0.1885164083"," 0.1309223806"," 0.2278971048"," 0.2729712480"," 0.6616494393"," 0.3099638399"," 0.3728839598","-6.0483515645"," 0.2740416842","-0.2576423101"," 0.0009888063"," 0.1400159630","-0.1052701023","-0.3544987575","-0.1528583769"," 0.3797516060"," 0.4340690580","-0.0412523240"," 0.0725618802"," 0.7319768057","-0.0501453067"," 0.5249625165","-0.1103010733"," 0.2459760943"," 0.0424814537"," 0.2192320728"," 0.2539103766"
"Bin.9.22","-0.84333860"," 0.21005811","-3.65082500"," 0.45608646"," 0.01924277","-0.18392292"," 0.20858788"," 0.37180838"," 0.38191528","-0.19868490","-0.70602396"," 0.39122015"," 0.23679174"," 0.14602348"," 0.06015325"," 0.14912855"," 0.08677530"," 0.07132649"," 0.33195012","-0.19940759","-3.75112600","-3.79062893","-0.18392292"," 0.53375054"," 0.45695295"," 0.60806467"," 0.72195718"," 1.00053869"," 0.54421656"," 0.51804245","-0.12256635"," 0.41044356"," 0.27233804"," 0.35402862"," 0.37215229"," 0.44947017"," 0.19561492"," 0.47852024"," 0.79943254"," 0.73197731"," 0.44374752"," 0.53390343"," 1.05624726"," 0.69045869"," 0.85369286"," 0.45579809"," 0.67127042","-3.93230912"," 0.61151395"," 0.67755542"
"Bin.9.18"," 0.07774495"," 0.43873665","-0.70732583","-3.36274794"," 0.09624953"," 0.14209366","-0.09667400","-0.57792581"," 0.48550670"," 0.12871107","-0.02741693"," 0.49394133","-3.69804643","-3.48121630"," 0.26788603"," 0.21398767"," 0.38748611"," 0.27801446"," 0.51426518"," 0.12805590","-0.61673952","-0.04729260"," 0.14209366"," 0.60695046"," 0.60468187"," 0.34882376"," 0.80214801"," 1.02337772"," 0.61121150"," 0.66676236"," 0.50178754"," 0.70744835","-3.73026824"," 0.51138338"," 0.52781207"," 0.60460324"," 0.48614796"," 0.23139625"," 0.95699487"," 0.84525116"," 0.53220754"," 0.62328021"," 1.06948064"," 0.83924459"," 0.90381265"," 0.62653052"," 0.74779994","-4.24984547"," 0.66809244"," 0.75349714"
"Bin.9.14"," 0.478904322"," 0.779507101"," 1.208948094"," 0.007585033","-0.043148008","-0.219344437","-0.040323655"," 0.395885895","-1.081057645"," 0.351125080","-0.054110742"," 0.823044441","-0.125029177"," 1.027381855","-0.177814441"," 0.574658071","-0.300178471","-0.712516498"," 0.281558852"," 0.951049245","-0.552513466","-0.631462745","-0.179029500"," 0.397314793"," 0.214825257","-0.960533875","-0.084199277","-0.111311403"," 0.976785248","-0.376293291","-0.351852239","-0.497910069","-1.133248825"," 0.256349247"," 0.262674668"," 0.747923495"," 0.593655391","-1.130793069"," 0.523234296"," 0.367133859"," 0.233139149","-0.474579483"," 0.584708143","-0.470177011"," 0.053842111","-0.314980603"," 0.392964115","-1.863212261","-0.104251587","-0.494325984"
"Bin.9.10"," 0.01186907","-0.13783691"," 0.19030513","-0.55143940"," 0.27060256","-0.05994586","-0.13960892","-0.37565695","-0.02916360"," 0.22809724"," 0.13138711"," 0.56524917","-0.18606160"," 0.50958429"," 0.23424383"," 0.34148317","-0.18796756","-0.20658754"," 0.10753104"," 0.22722611"," 0.05734281","-0.55868116"," 0.13948329"," 0.55812990"," 0.33863603","-0.03199382"," 0.38489197"," 0.57453536"," 0.46182192","-0.62522696","-0.23290761"," 0.13899471","-0.06277390"," 0.57564989"," 0.20598862","-0.15512270","-0.15524463"," 0.03726504"," 0.40004188"," 0.37744201"," 0.06337126"," 0.02708538"," 0.83939303"," 0.17738037"," 0.55745491"," 0.19365804"," 0.49848320","-6.45218588"," 0.36987248"," 0.35390416"
"Bin.9.06","-0.340078889","-0.121595070"," 0.042657818","-1.580873264","-0.535791616"," 0.580224001","-0.065892709"," 0.052788736","-0.139394148"," 0.609420491"," 0.682537313","-0.128462809"," 0.402314618"," 0.314796830","-0.065892709"," 0.567066786","-0.092046006","-0.176493242","-0.102122963"," 0.679569538","-0.644517319","-0.896202408"," 0.294228301"," 0.458620525"," 0.006189608","-0.163136682"," 0.379061170"," 0.574895411"," 0.413486260"," 0.107630137"," 0.191932968"," 0.171248190","-0.172155378"," 0.818149252"," 0.460451134"," 0.342739838","-0.204860618","-0.062527784"," 0.436092834"," 0.425257873"," 0.049224108","-0.027136484"," 0.651188783"," 0.306585155"," 0.530826632","-0.022924076"," 0.449910114","-6.297419344"," 0.458121992"," 0.382307102"
"Bin.9.02"," 0.23015667"," 0.54384375","-0.11240907","-0.06244470","-0.50044807","-0.43807539","-0.06744867","-0.56164441","-0.02403238"," 0.20575202","-0.22587481"," 0.65380111"," 0.21068639"," 0.30621757"," 0.38337759","-0.39343887"," 0.27833370","-0.30632902"," 0.26775516","-0.01434149"," 0.01130784","-1.29238445","-0.20744413","-0.43152523"," 0.21228837"," 0.15613515"," 0.56068755"," 0.65204354"," 0.35446530","-0.63395721","-0.04945129"," 0.24178368"," 0.35527225"," 0.35527225"," 0.61719757"," 0.16002841","-0.02315994"," 0.16239602"," 0.54992115"," 0.52850591"," 0.25371805"," 0.03352468"," 0.73701257"," 0.32734685"," 0.65854449"," 0.08551601"," 0.20293529","-6.05284035"," 0.55935589"," 0.54206672"
"Bin.8.98","-1.22767970","-0.30129331","-0.34036790"," 0.02183608","-1.17697599"," 0.28192875","-0.30494499"," 0.32896198"," 0.32323915"," 0.48918323"," 0.11334784","-0.19439729"," 0.39536127","-0.13602664","-0.18352944","-0.67190711"," 0.39143355"," 0.04711932","-0.03161441","-0.09089511","-0.33513487","-0.30979119"," 0.13003210"," 0.18364224","-0.21993516"," 0.09336317"," 0.59139579"," 0.73308034"," 0.04780273","-0.02909217","-0.43447841"," 0.31782472","-0.17967446"," 0.15468525"," 0.08822121","-0.47707910","-0.73890972"," 0.28806105"," 0.41848284"," 0.53641456","-0.28839571","-0.36317200"," 0.68492055"," 0.63030615"," 0.76932865","-0.46136238"," 0.07380830","-0.95680691"," 0.55564606"," 0.76403708"
"Bin.8.94","-0.97605328","-0.02508631","-0.13158793","-0.20401785","-0.22820029","-0.88897350"," 0.03308270","-0.20719191"," 0.29862545"," 0.20893213","-0.08426760"," 0.27905417","-0.55493581","-0.10364627"," 0.08598243","-0.97376414"," 0.11864377","-0.26452091"," 0.19824757","-0.03403339","-0.07775164","-0.83399534","-0.08426760","-0.07775164"," 0.29046314"," 0.19552430"," 0.65417508"," 0.82813848"," 0.18642771"," 0.25023911"," 0.06024666"," 0.46283106"," 0.41553288"," 0.34629931"," 0.34286238"," 0.16611316"," 0.11738719"," 0.29500930"," 0.61533029"," 0.67005625"," 0.22832603"," 0.14278866"," 0.78191848"," 0.64616644"," 0.78543284"," 0.24310992"," 0.39851434","-5.98097453"," 0.70950864"," 0.67605005"
"Bin.8.90","-1.10070314","-0.16693190","-0.63762922"," 0.05611900","-0.94231707"," 0.27921202","-0.21811768"," 0.09102939"," 0.35483800"," 0.46499374"," 0.09250378"," 0.02480541"," 0.34902238"," 0.02597217","-0.08213518","-0.45874252"," 0.34540804"," 0.06034377"," 0.03885547","-0.13836112","-0.18389132","-0.31805784"," 0.01969979"," 0.20319410"," 0.01518138"," 0.03378207"," 0.59680408"," 0.49089054","-0.37642513"," 0.10289793","-0.49976971"," 0.31398528"," 0.10439340"," 0.16212098"," 0.17517749","-0.08798346","-0.77991113"," 0.01256824"," 0.47661160"," 0.47094836","-0.26061639","-0.19344399"," 0.71702322"," 0.63260988"," 0.78394632","-0.39552808"," 0.15467019","-2.14034367"," 0.61645340"," 0.71484710"
"Bin.8.86"," 0.28775715"," 0.74257639"," 1.17732970","-0.07303618","-0.32505128","-0.49420520","-0.13136443"," 0.34996583","-1.12509059"," 0.27665982","-0.10916919"," 0.58726796","-0.22307101"," 0.91648088","-0.41931425"," 0.46104826","-0.28300548","-0.72631283"," 0.16434551"," 0.94098079","-0.91682803","-0.71304394","-0.29732298"," 0.29966244"," 0.13823842","-1.11132116"," 0.14169881","-0.16207599"," 0.90592060","-0.31800945","-0.39767331","-0.40089266","-0.39925732"," 0.21242562"," 0.28086540"," 0.80792536"," 0.48914376","-0.59352874"," 0.58097614"," 0.47590150"," 0.15134677","-0.43946918"," 0.70812366","-0.19739751"," 0.29797659","-0.25666995"," 0.33041939","-1.77564370"," 0.25398374","-0.09026613"
"Bin.8.82"," 0.44474125"," 0.62273164"," 1.10452454","-0.31482991"," 0.19630719","-0.33256837","-0.11869223"," 0.26649382","-0.86287956"," 0.29962797","-0.37708539"," 0.99739086","-0.27642367"," 1.06547602","-0.14774448"," 0.50699735","-0.40435994","-0.61427836"," 0.23490901"," 0.84373078","-0.49895316","-0.52836800","-0.25801995"," 0.55033864"," 0.30220471","-0.93420924","-0.01174212","-0.24596640"," 0.90621365","-0.43627822","-0.58838295","-0.31253721","-0.53962729"," 0.31632318"," 0.12449379"," 0.47716683"," 0.55710195","-0.77684900"," 0.34524580"," 0.24632003"," 0.18929429","-0.48870165"," 0.68168180","-0.37562703"," 0.13987127","-0.19098884"," 0.44226010","-2.08150651"," 0.05891513","-0.20374212"
"Bin.8.78"," 0.490164601"," 0.643938492"," 0.409496872","-2.271189001","-0.415338578","-0.256551334","-0.763984048","-0.938381763","-0.362882129","-0.346352915","-0.019266223","-0.174886886","-0.349412417","-0.598566066"," 0.242438594"," 0.127898508","-0.223882932","-1.231274413","-0.368982049"," 0.580089361","-0.043442488","-1.147848671"," 0.261054482","-0.626427911","-0.048263413","-0.164528122"," 0.579733624"," 0.702775317"," 0.434563691"," 0.182224807","-0.755739180"," 0.247132546"," 0.528227210"," 0.846973861"," 0.473752376","-0.048430505","-0.097280178"," 0.074743798"," 0.506204966"," 0.439057565"," 0.083662622"," 0.148623683"," 1.069444407"," 0.375899222"," 0.751461934","-0.001833282"," 0.012687327","-0.277384550"," 0.746636083"," 0.573243105"
"Bin.8.74","-0.14792822","-0.33908684","-0.02337382","-4.20144853","-0.23292096","-0.58489422"," 0.11855101"," 0.12002282"," 0.35888142","-0.09164232","-0.01004581"," 0.05767745","-4.16913069","-0.25459711"," 0.16748773","-0.14606002"," 0.34273424","-0.07535168"," 0.22871734"," 0.05622891","-0.17697528"," 0.17309104"," 0.07173191","-4.74569854"," 0.43399914"," 0.40546746"," 0.77701398"," 0.74450271"," 0.56160086"," 0.76563288"," 0.28175511"," 0.59993303"," 0.64520480"," 0.55783150"," 0.47982282"," 0.41511425"," 0.30309621"," 0.49792278"," 0.65353229"," 0.72332366"," 0.37924675"," 0.30594269"," 0.86442842"," 0.66775350"," 0.86317054"," 0.41496234"," 0.52523387","-0.98784321"," 0.83983041"," 0.78555138"
"Bin.8.70","-0.25173055"," 0.09136421"," 0.10137698","-0.48327023","-0.22960429","-1.45141637"," 0.16211390"," 0.11072362"," 0.23582720","-0.11844666","-0.30513410"," 0.04322223","-4.69402340","-0.34161357"," 0.04796478","-0.24970785"," 0.22272912","-0.17315174"," 0.18167216"," 0.24434398","-0.25757190"," 0.40350201"," 0.01170400","-5.11558427"," 0.34276530"," 0.34743124"," 0.66988435"," 0.69471584"," 0.37721280"," 0.38336914"," 0.35324535"," 0.50725603"," 0.59478481"," 0.51845365"," 0.42793574"," 0.28968744"," 0.26220214"," 0.54322313"," 0.61131507"," 0.68152807"," 0.36400972"," 0.23967582"," 0.76168536"," 0.54286711"," 0.76861754"," 0.31590540"," 0.40792065","-0.61124225"," 0.72115842"," 0.69910287"
"Bin.8.66","-0.286468597","-0.143674825","-0.293493608","-0.748110787","-0.681773744","-0.487427593","-0.370336778","-1.034092625"," 0.108939276","-0.381933406","-0.502702490","-0.261161044","-0.612318800","-0.339753220","-0.011727683"," 0.004840611"," 0.298634858","-0.749094199","-0.058403018","-0.264451399","-0.112965887","-0.464856947","-0.125043225","-1.556945603"," 0.346200672"," 0.307654006"," 0.730388133"," 0.699130557"," 0.215063199"," 0.236430552","-0.275461303"," 0.336116924"," 0.359609396"," 0.605018011"," 0.376690168","-0.052975331","-0.041227352"," 0.261565157"," 0.485388873"," 0.608931297"," 0.062336019","-0.122469933"," 0.966555645"," 0.473005635"," 0.891927174"," 0.223216636"," 0.287939303","-0.439586449"," 0.769201821"," 0.763671922"
