Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Recall,Best Parameters
Random Forest,17,0.9580,0.9545,0.9914,0.9545,0.9545,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,18,0.9790,0.9783,0.9989,0.9854,0.9712,"{'C': 10, 'max_iter': 10000}"
Random Forest,18,0.9615,0.9591,0.9916,0.9773,0.9416,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,19,0.9825,0.9822,0.9986,0.9787,0.9857,"{'C': 10, 'max_iter': 10000}"
Random Forest,19,0.9790,0.9786,0.9918,0.9786,0.9786,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,20,0.9895,0.9895,0.9987,0.9860,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,20,0.9650,0.9645,0.9921,0.9645,0.9645,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,21,0.9790,0.9816,0.9918,0.9816,0.9816,"{'C': 10, 'max_iter': 10000}"
Random Forest,21,0.9685,0.9665,0.9937,0.9701,0.9630,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,22,0.9720,0.9712,0.9971,0.9712,0.9712,"{'C': 10, 'max_iter': 10000}"
Random Forest,22,0.9510,0.9517,0.9848,0.9650,0.9388,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,23,0.9650,0.9679,0.9936,0.9679,0.9679,"{'C': 10, 'max_iter': 10000}"
Random Forest,23,0.9615,0.9611,0.9920,0.9645,0.9577,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,24,0.9825,0.9826,0.9980,0.9658,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,24,0.9895,0.9890,0.9976,0.9926,0.9854,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,25,0.9755,0.9751,0.9954,0.9648,0.9856,"{'C': 10, 'max_iter': 10000}"
Random Forest,25,0.9580,0.9595,0.9940,0.9861,0.9342,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,26,0.9720,0.9732,0.9961,0.9667,0.9797,"{'C': 1, 'max_iter': 10000}"
Random Forest,26,0.9685,0.9699,0.9912,0.9667,0.9732,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,27,0.9720,0.9726,0.9955,0.9726,0.9726,"{'C': 10, 'max_iter': 10000}"
Random Forest,27,0.9685,0.9697,0.9954,0.9863,0.9536,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,28,0.9615,0.9558,0.9969,0.9297,0.9835,"{'C': 10, 'max_iter': 10000}"
Random Forest,28,0.9825,0.9821,0.9968,0.9786,0.9856,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,29,0.9580,0.9632,0.9903,0.9691,0.9573,"{'C': 10, 'max_iter': 10000}"
Random Forest,29,0.9441,0.9448,0.9915,0.9716,0.9195,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,30,0.9895,0.9905,0.9990,0.9936,0.9873,"{'C': 10, 'max_iter': 10000}"
Random Forest,30,0.9685,0.9663,0.9910,0.9556,0.9773,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,31,0.9790,0.9790,0.9977,0.9589,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,31,0.9720,0.9724,0.9962,0.9724,0.9724,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,32,0.9650,0.9675,0.9845,0.9613,0.9739,"{'C': 10, 'max_iter': 10000}"
Random Forest,32,0.9650,0.9624,0.9975,0.9697,0.9552,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,33,0.9755,0.9767,0.9984,0.9545,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,33,0.9650,0.9655,0.9900,0.9524,0.9790,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,34,0.9685,0.9695,0.9970,0.9862,0.9533,"{'C': 10, 'max_iter': 10000}"
Random Forest,34,0.9755,0.9756,0.9933,0.9790,0.9722,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,35,0.9790,0.9793,0.9976,0.9793,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,35,0.9720,0.9728,0.9968,0.9728,0.9728,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,36,0.9755,0.9745,0.9979,0.9710,0.9781,"{'C': 10, 'max_iter': 10000}"
Random Forest,36,0.9615,0.9627,0.9934,0.9793,0.9467,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,37,0.9790,0.9803,0.9955,0.9868,0.9739,"{'C': 10, 'max_iter': 10000}"
Random Forest,37,0.9825,0.9823,0.9993,0.9929,0.9720,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,38,0.9615,0.9600,0.9866,0.9429,0.9778,"{'C': 10, 'max_iter': 10000}"
Random Forest,38,0.9615,0.9617,0.9954,0.9787,0.9452,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,39,0.9825,0.9827,0.9954,0.9726,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,39,0.9720,0.9706,0.9872,0.9635,0.9778,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,40,0.9965,0.9965,1.0000,1.0000,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,40,0.9825,0.9829,0.9969,0.9796,0.9863,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,41,0.9685,0.9677,0.9900,0.9574,0.9783,"{'C': 10, 'max_iter': 10000}"
Random Forest,41,0.9580,0.9574,0.9952,0.9926,0.9247,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,42,0.9720,0.9718,0.9966,0.9517,0.9928,"{'C': 10, 'max_iter': 10000}"
Random Forest,42,0.9825,0.9838,0.9972,0.9744,0.9935,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,43,0.9720,0.9733,0.9954,0.9669,0.9799,"{'C': 10, 'max_iter': 10000}"
Random Forest,43,0.9510,0.9539,0.9919,0.9603,0.9477,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,44,0.9755,0.9761,0.9983,0.9931,0.9597,"{'C': 10, 'max_iter': 10000}"
Random Forest,44,0.9615,0.9627,0.9934,0.9467,0.9793,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,45,0.9720,0.9690,0.9982,0.9542,0.9843,"{'C': 10, 'max_iter': 10000}"
Random Forest,45,0.9615,0.9630,0.9930,0.9662,0.9597,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,46,0.9790,0.9795,0.9983,0.9662,0.9931,"{'C': 10, 'max_iter': 10000}"
Random Forest,46,0.9650,0.9653,0.9955,0.9456,0.9858,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,47,0.9825,0.9827,0.9918,0.9726,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,47,0.9615,0.9627,0.9935,0.9595,0.9660,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,48,0.9825,0.9829,0.9963,0.9796,0.9863,"{'C': 10, 'max_iter': 10000}"
Random Forest,48,0.9720,0.9720,0.9887,0.9653,0.9789,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,49,0.9755,0.9754,0.9958,0.9789,0.9720,"{'C': 1, 'max_iter': 10000}"
Random Forest,49,0.9336,0.9373,0.9810,0.9103,0.9660,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,50,0.9755,0.9751,0.9958,0.9786,0.9716,"{'C': 10, 'max_iter': 10000}"
Random Forest,50,0.9790,0.9779,0.9950,0.9779,0.9779,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,51,0.9720,0.9714,0.9977,0.9714,0.9714,"{'C': 1, 'max_iter': 10000}"
Random Forest,51,0.9615,0.9632,0.9942,0.9863,0.9412,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,52,0.9755,0.9756,0.9981,0.9859,0.9655,"{'C': 10, 'max_iter': 10000}"
Random Forest,52,0.9545,0.9527,0.9926,0.9424,0.9632,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,53,0.9860,0.9866,0.9959,0.9735,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,53,0.9685,0.9686,0.9967,0.9521,0.9858,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,54,0.9685,0.9677,0.9898,0.9441,0.9926,"{'C': 10, 'max_iter': 10000}"
Random Forest,54,0.9580,0.9586,0.9961,0.9858,0.9329,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,55,0.9720,0.9718,0.9958,0.9718,0.9718,"{'C': 10, 'max_iter': 10000}"
Random Forest,55,0.9615,0.9617,0.9903,0.9583,0.9650,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,56,0.9755,0.9751,0.9955,0.9716,0.9786,"{'C': 10, 'max_iter': 10000}"
Random Forest,56,0.9615,0.9609,0.9929,0.9574,0.9643,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,57,0.9510,0.9504,0.9841,0.9437,0.9571,"{'C': 1, 'max_iter': 10000}"
Random Forest,57,0.9755,0.9751,0.9964,0.9786,0.9716,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,58,0.9685,0.9693,0.9942,0.9530,0.9861,"{'C': 10, 'max_iter': 10000}"
Random Forest,58,0.9580,0.9595,0.9923,0.9726,0.9467,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,59,0.9720,0.9726,0.9979,0.9660,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,59,0.9476,0.9458,0.9922,0.9704,0.9225,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,60,0.9755,0.9763,0.9973,0.9730,0.9796,"{'C': 10, 'max_iter': 10000}"
Random Forest,60,0.9720,0.9714,0.9912,0.9645,0.9784,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,61,0.9790,0.9790,0.9961,0.9790,0.9790,"{'C': 10, 'max_iter': 10000}"
Random Forest,61,0.9825,0.9818,0.9993,0.9783,0.9854,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,62,0.9860,0.9855,0.9984,0.9927,0.9784,"{'C': 10, 'max_iter': 10000}"
Random Forest,62,0.9720,0.9708,0.9927,0.9638,0.9779,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,63,0.9755,0.9770,0.9991,0.9933,0.9613,"{'C': 10, 'max_iter': 10000}"
Random Forest,63,0.9545,0.9537,0.9969,0.9640,0.9437,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,64,0.9685,0.9677,0.9928,0.9712,0.9643,"{'C': 1, 'max_iter': 10000}"
Random Forest,64,0.9720,0.9708,0.9950,0.9568,0.9852,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,65,0.9685,0.9699,0.9942,0.9732,0.9667,"{'C': 10, 'max_iter': 10000}"
Random Forest,65,0.9580,0.9613,0.9939,0.9739,0.9490,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,66,0.9790,0.9796,0.9960,0.9664,0.9931,"{'C': 10, 'max_iter': 10000}"
Random Forest,66,0.9650,0.9645,0.9972,0.9444,0.9855,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,67,0.9860,0.9864,0.9985,0.9864,0.9864,"{'C': 10, 'max_iter': 10000}"
Random Forest,67,0.9720,0.9708,0.9980,0.9852,0.9568,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,68,0.9755,0.9785,0.9928,0.9636,0.9938,"{'C': 10, 'max_iter': 10000}"
Random Forest,68,0.9790,0.9784,0.9956,0.9645,0.9927,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,69,0.9860,0.9858,0.9984,0.9858,0.9858,"{'C': 10, 'max_iter': 10000}"
Random Forest,69,0.9755,0.9758,0.9938,0.9724,0.9792,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,70,0.9650,0.9635,0.9964,0.9565,0.9706,"{'C': 10, 'max_iter': 10000}"
Random Forest,70,0.9615,0.9572,0.9936,0.9535,0.9609,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,71,0.9720,0.9706,0.9965,0.9635,0.9778,"{'C': 10, 'max_iter': 10000}"
Random Forest,71,0.9476,0.9462,0.9851,0.9429,0.9496,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,72,0.9650,0.9635,0.9969,0.9635,0.9635,"{'C': 10, 'max_iter': 10000}"
Random Forest,72,0.9510,0.9489,0.9939,0.9489,0.9489,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,73,0.9790,0.9795,0.9989,0.9728,0.9862,"{'C': 10, 'max_iter': 10000}"
Random Forest,73,0.9650,0.9682,0.9902,0.9682,0.9682,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,74,0.9790,0.9787,0.9954,0.9857,0.9718,"{'C': 10, 'max_iter': 10000}"
Random Forest,74,0.9685,0.9680,0.9927,0.9714,0.9645,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,75,0.9755,0.9754,0.9932,0.9586,0.9929,"{'C': 1, 'max_iter': 10000}"
Random Forest,75,0.9720,0.9708,0.9960,0.9779,0.9638,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,76,0.9755,0.9756,0.9952,0.9722,0.9790,"{'C': 10, 'max_iter': 10000}"
Random Forest,76,0.9301,0.9320,0.9901,0.9195,0.9448,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,77,0.9825,0.9829,0.9955,0.9796,0.9863,"{'C': 10, 'max_iter': 10000}"
Random Forest,77,0.9615,0.9558,0.9892,0.9675,0.9444,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,78,0.9720,0.9710,0.9944,0.9571,0.9853,"{'C': 10, 'max_iter': 10000}"
Random Forest,78,0.9720,0.9716,0.9976,0.9648,0.9786,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,79,0.9825,0.9829,0.9979,0.9730,0.9931,"{'C': 10, 'max_iter': 10000}"
Random Forest,79,0.9441,0.9452,0.9846,0.9324,0.9583,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,80,0.9615,0.9649,0.9936,0.9497,0.9805,"{'C': 10, 'max_iter': 10000}"
Random Forest,80,0.9545,0.9534,0.9955,0.9708,0.9366,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,81,0.9825,0.9822,0.9963,0.9857,0.9787,"{'C': 10, 'max_iter': 10000}"
Random Forest,81,0.9301,0.9296,0.9845,0.9296,0.9296,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,82,0.9825,0.9831,0.9949,0.9797,0.9864,"{'C': 10, 'max_iter': 10000}"
Random Forest,82,0.9755,0.9758,0.9978,0.9658,0.9860,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,83,0.9790,0.9781,0.9964,0.9710,0.9853,"{'C': 10, 'max_iter': 10000}"
Random Forest,83,0.9790,0.9787,0.9969,0.9718,0.9857,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,84,0.9860,0.9858,0.9959,0.9858,0.9858,"{'C': 10, 'max_iter': 10000}"
Random Forest,84,0.9790,0.9800,0.9930,0.9866,0.9735,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,85,0.9790,0.9778,0.9987,0.9706,0.9851,"{'C': 10, 'max_iter': 10000}"
Random Forest,85,0.9755,0.9758,0.9965,0.9724,0.9792,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,86,0.9755,0.9736,0.9961,0.9699,0.9773,"{'C': 10, 'max_iter': 10000}"
Random Forest,86,0.9860,0.9864,0.9989,0.9797,0.9932,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,87,0.9790,0.9804,0.9948,0.9868,0.9740,"{'C': 10, 'max_iter': 10000}"
Random Forest,87,0.9825,0.9837,0.9956,0.9934,0.9742,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,88,0.9685,0.9668,0.9951,0.9493,0.9850,"{'C': 10, 'max_iter': 10000}"
Random Forest,88,0.9685,0.9668,0.9937,0.9562,0.9776,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,89,0.9685,0.9691,0.9931,0.9792,0.9592,"{'C': 10, 'max_iter': 10000}"
Random Forest,89,0.9685,0.9705,0.9943,0.9801,0.9610,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,90,0.9755,0.9751,0.9941,0.9514,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,90,0.9510,0.9524,0.9909,0.9396,0.9655,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,91,0.9720,0.9710,0.9935,0.9710,0.9710,"{'C': 10, 'max_iter': 10000}"
Random Forest,91,0.9580,0.9545,0.9946,0.9692,0.9403,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,92,0.9685,0.9709,0.9942,0.9804,0.9615,"{'C': 10, 'max_iter': 10000}"
Random Forest,92,0.9580,0.9595,0.9930,0.9404,0.9793,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,93,0.9790,0.9795,0.9988,0.9862,0.9728,"{'C': 10, 'max_iter': 10000}"
Random Forest,93,0.9755,0.9759,0.9958,0.9793,0.9726,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,94,0.9860,0.9865,0.9945,0.9799,0.9932,"{'C': 10, 'max_iter': 10000}"
Random Forest,94,0.9685,0.9684,0.9919,0.9928,0.9452,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,95,0.9755,0.9736,0.9971,0.9699,0.9773,"{'C': 10, 'max_iter': 10000}"
Random Forest,95,0.9510,0.9510,0.9942,0.9128,0.9927,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,96,0.9755,0.9756,0.9943,0.9790,0.9722,"{'C': 10, 'max_iter': 10000}"
Random Forest,96,0.9580,0.9610,0.9962,0.9487,0.9737,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,97,0.9825,0.9823,0.9965,0.9653,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,97,0.9720,0.9710,0.9934,0.9710,0.9710,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,98,0.9790,0.9795,0.9979,0.9662,0.9931,"{'C': 10, 'max_iter': 10000}"
Random Forest,98,0.9650,0.9658,0.9953,0.9463,0.9860,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,99,0.9720,0.9742,0.9963,0.9742,0.9742,"{'C': 10, 'max_iter': 10000}"
Random Forest,99,0.9790,0.9796,0.9964,0.9664,0.9931,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
