"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Bin.9.62"," 0.56818480","-0.09562588"," 0.38975347"," 0.64643794"," 0.41829296","-2.00032535"," 0.44457325","-2.40979603"," 0.53113741"," 0.27829940","-2.04319811"," 0.27876457","-2.01223402","-0.13660908"," 0.28157508"," 0.50172968"," 0.46167486"," 0.45175077"," 0.45616486"," 0.27783516","-0.08697640"," 0.31656988"," 0.54613336","-0.08697640"," 0.57934013"," 0.50193008"," 0.52486587"," 0.97140797"," 0.91853748"," 0.28110432"," 0.32719685"," 0.24824092","-2.38877437"," 0.71248318"," 0.42951391"," 0.56305935","-2.24413492"," 0.41871477"," 0.71080637"," 0.63824299"," 0.26963173"," 0.37041438"," 0.68661408"," 0.63398639"," 0.60061462","-1.98991489"," 0.55400588","-2.49861710","-0.09609712"," 0.29969095"
"Bin.9.58"," 0.486694342"," 0.375429052"," 0.472701403"," 0.066713034"," 0.498589660","-1.695346883"," 0.374572427"," 0.408309854"," 0.514457052"," 0.028595804","-1.882096498"," 0.372023010","-1.940501472","-0.004763786","-1.689716308"," 0.487781770"," 0.390084001"," 0.615433794"," 0.532943389"," 0.605530043"," 0.383297576"," 0.406316324"," 0.380203002"," 0.383297576"," 0.410322194"," 0.660952210"," 0.704233520"," 0.946710255"," 0.872431367"," 0.374145402","-1.965454287"," 0.001425315","-2.212651269"," 0.819062298"," 0.360913425"," 0.334193636","-1.830013143"," 0.498972293"," 0.731045332"," 0.745709111"," 0.807322612"," 0.750885362"," 0.670206809","-1.948020254"," 0.711576203","-1.981622930"," 0.387343461","-2.186242791"," 0.375000309"," 0.391005396"
"Bin.9.54"," 0.55843975"," 0.12947846"," 0.54522676"," 0.62546533"," 0.56967205","-1.64159400"," 0.59218225","-1.66813631"," 0.58465502"," 0.44976155"," 0.17060801"," 0.45015999","-1.51217885","-1.60185263","-1.49666183"," 0.09607569"," 0.14327812"," 0.73795230"," 0.60211097"," 0.72860051"," 0.13688711","-1.52663638"," 0.45788404"," 0.46080613"," 0.62594209"," 0.78093381"," 0.76385370"," 1.11751164"," 0.83163086","-1.71754680"," 0.16765187"," 0.10021872","-1.99044937","-1.93759997"," 0.43966963"," 0.41443915","-1.48952453"," 0.43042074"," 0.75244525"," 0.83974343","-2.01801764"," 0.66828195"," 0.93912475"," 0.47518338"," 0.80751298"," 0.44896704"," 0.82553949","-1.92878688"," 0.59258632"," 0.46808433"
"Bin.9.50","-0.16727218"," 0.25110690"," 0.45371275"," 0.45203879"," 0.38689436"," 0.25637029"," 0.25016245","-2.32134109"," 0.40438853","-0.13128490"," 0.29924745"," 0.41036628","-2.20689852","-2.14858546","-0.12801884"," 0.37497840"," 0.26726432"," 0.42035561"," 0.42477015","-0.13174776","-2.03538399","-2.06076270"," 0.41938575"," 0.42279789"," 0.54795806"," 0.68604676"," 0.61362154"," 0.97632186"," 0.79906361"," 0.67109324","-0.08250581"," 0.59534062"," 0.48183475"," 0.22346118","-0.14303008"," 0.46401477","-2.01743078"," 0.22430405"," 0.71084385"," 0.70223065"," 0.82264361"," 0.50203163"," 0.89009334","-2.05217091"," 0.70085389"," 0.50433520"," 0.59028246","-2.60945211"," 0.50901117"," 0.52665898"
"Bin.9.46","-0.058796956","-0.492933862"," 0.253389022"," 0.251237951"," 0.167526489"," 0.209278368"," 0.478227930"," 0.249102083"," 0.399493444","-0.012385560"," 0.473868415","-0.011787751"," 0.224584039"," 0.149650975","-0.008175845","-0.057256537"," 0.345820374"," 0.001047481"," 0.425684709","-0.012982188","-2.945133623","-0.449287118"," 0.209278368"," 0.213663014"," 0.461441274"," 0.397554833"," 0.458873950"," 0.952443206"," 0.458873950","-0.008780836"," 0.469423785"," 0.490485637"," 0.499014728"," 0.166985362"," 0.391433544"," 0.144086983","-0.504819314","-2.899543809"," 0.583805921"," 0.659684096","-3.249439265"," 0.438022296"," 0.844392220"," 0.567267465"," 0.611325911"," 0.472825473"," 0.428882928","-3.682818838"," 0.411393742"," 0.434071534"
"Bin.9.42"," 0.07022717"," 0.11123882"," 0.31722870"," 0.41248217"," 0.24929427","-0.26792618"," 0.44176234","-2.57296701"," 0.36403528"," 0.10694787"," 0.54503099"," 0.27315823","-2.38782148","-2.32853445"," 0.11027859"," 0.45628306"," 0.29340529"," 0.28331441"," 0.50690796"," 0.49131799","-2.21344223","-0.23872862"," 0.28232835"," 0.12005895"," 0.41304814"," 0.50008424"," 0.52340582"," 0.79803740"," 0.62036245"," 0.44128361","-2.25005041"," 0.46122211"," 0.58035953"," 0.69645646"," 0.42644952"," 0.32770278","-2.19518915"," 0.24972318"," 0.63201365"," 0.63868934"," 0.48297561"," 0.46331054"," 0.71980425"," 0.39982140"," 0.67657852"," 0.49084681"," 0.38728810","-2.79709873"," 0.37345074"," 0.51354363"
"Bin.9.38"," 0.32377143","-0.03644658"," 0.16652633","-0.14515985"," 0.04007159","-0.20695477"," 0.27028550"," 0.52115926"," 0.25365244"," 0.18293345"," 0.05466631"," 0.26496550","-1.20871023","-0.60326200","-0.52720502","-0.29099441"," 0.12218105","-0.20511935"," 0.56201756"," 0.18205467","-0.50900005","-0.15246517","-0.02648468","-0.20049740"," 0.65340644"," 0.50689317"," 0.46915187"," 0.92463603"," 0.58593088"," 0.18824287","-1.15677015"," 0.02671371"," 0.52826841"," 0.28835988"," 0.24178237"," 0.18602291","-1.25862425"," 0.40181578"," 0.52509476"," 0.50879450"," 0.37572564"," 0.25796966"," 0.82345570"," 0.50073813"," 0.66494600","-0.04619038"," 0.42498313","-6.09770048"," 0.27117839"," 0.37318944"
"Bin.9.34"," 0.05091155"," 0.24090784"," 0.43021458"," 0.42865053"," 0.36778354","-0.25984090"," 0.32912380"," 0.12247075"," 0.47322897"," 0.32606262"," 0.13357857"," 0.43874953","-2.20795898","-2.00117247"," 0.39234086","-2.00303601"," 0.45735641"," 0.48814773"," 0.49227242"," 0.51181998","-0.25666209"," 0.27272763"," 0.44717680","-2.35233416"," 0.36595340"," 0.38271957"," 0.55646883"," 0.82140743"," 0.61968647"," 0.54421838","-2.08135163"," 0.29797188","-2.47071182"," 0.65784304"," 0.50124296"," 0.39977544","-2.03093584"," 0.36817771"," 0.62483002"," 0.68000022"," 0.38117944"," 0.52439573"," 0.79319407"," 0.59521583"," 0.67628570"," 0.38841281"," 0.58369800","-2.55019773"," 0.51575587"," 0.53224471"
"Bin.9.30","-0.10487156"," 0.05785433"," 0.11750521"," 0.33773548","-0.33073139"," 0.39048011"," 0.16927770"," 0.39983827"," 0.15603565"," 0.37618955"," 0.37601451","-0.04974639"," 0.28203552"," 0.07494390","-0.29113147"," 0.11172338"," 0.34930554"," 0.26555078"," 0.11563525"," 0.33815459","-0.27663647"," 0.10916700"," 0.26408951"," 0.21460604"," 0.11582180"," 0.31490199"," 0.30084392"," 0.60464864"," 0.20578246"," 0.38041653","-4.42378248"," 0.17823946"," 0.05793356"," 0.41996366"," 0.23204320"," 0.10219386","-0.30368860"," 0.18950973"," 0.28077446"," 0.36973982"," 0.03843262"," 0.02375652"," 0.59705929"," 0.47044157"," 0.40440480"," 0.05009694"," 0.27595197","-5.03615704"," 0.25544621"," 0.44220005"
"Bin.9.26","-0.442203012"," 0.058869680","-1.465123600","-0.278553463"," 0.067605514"," 0.135549886","-0.108587235","-0.481440190"," 0.623571438"," 0.541134942","-0.257167003"," 0.457589238"," 0.501357645"," 0.313743253"," 0.397794771","-0.098798756"," 0.357746665"," 0.071905283"," 0.385589544"," 0.271365286"," 0.342099043"," 0.054273249"," 0.292170243"," 0.200612612"," 0.139323049"," 0.242520181"," 0.290486519"," 0.704104347"," 0.329852750"," 0.396810155","-6.436445606"," 0.291625640","-0.274173996"," 0.001052253"," 0.149000123","-0.112024786","-0.377245262","-0.162666574"," 0.404118466"," 0.461921211","-0.043899290"," 0.077217832"," 0.778944287","-0.053362893"," 0.558646872","-0.117378570"," 0.261759214"," 0.045207287"," 0.233299155"," 0.270202602"
"Bin.9.22","-0.71090040"," 0.17707051","-3.07749810"," 0.38446247"," 0.01622088","-0.15503960"," 0.17583116"," 0.31341945"," 0.32193917","-0.16748335","-0.59514970"," 0.32978279"," 0.19960588"," 0.12309190"," 0.05070676"," 0.12570934"," 0.07314807"," 0.06012535"," 0.27982055","-0.16809255","-3.16204779","-3.19534717","-0.15503960"," 0.44993016"," 0.38519289"," 0.51257397"," 0.60858076"," 0.84341372"," 0.45875259"," 0.43668888","-0.10331848"," 0.34598735"," 0.22956997"," 0.29843183"," 0.31370936"," 0.37888521"," 0.16489548"," 0.40337325"," 0.67388936"," 0.61702732"," 0.37406125"," 0.45005904"," 0.89037380"," 0.58202880"," 0.71962862"," 0.38421939"," 0.56585387","-3.31477785"," 0.51548158"," 0.57115187"
"Bin.9.18"," 0.05940658"," 0.33524804","-0.54048276","-2.56954748"," 0.07354632"," 0.10857680","-0.07387067","-0.44160545"," 0.37098603"," 0.09835087","-0.02094986"," 0.37743111","-2.82575621","-2.66007168"," 0.20469743"," 0.16351254"," 0.29608641"," 0.21243678"," 0.39296100"," 0.09785024","-0.47126383","-0.03613729"," 0.10857680"," 0.46378380"," 0.46205033"," 0.26654368"," 0.61293842"," 0.78198476"," 0.46703975"," 0.50948735"," 0.38342657"," 0.54057639","-2.85037758"," 0.39075895"," 0.40331247"," 0.46199024"," 0.37147603"," 0.17681481"," 0.73126021"," 0.64587445"," 0.40667114"," 0.47626172"," 0.81721299"," 0.64128471"," 0.69062254"," 0.47874534"," 0.57140990","-3.24739764"," 0.51050369"," 0.57576325"
"Bin.9.14"," 0.75553418"," 1.22977437"," 1.90727368"," 0.01196638","-0.06807162","-0.34604453","-0.06361584"," 0.62456176","-1.70550978"," 0.55394572","-0.08536677"," 1.29846021","-0.19724987"," 1.62082920","-0.28052553"," 0.90659824","-0.47357078","-1.12408793"," 0.44419590"," 1.50040453","-0.87166223","-0.99621504","-0.28244244"," 0.62681603"," 0.33891493","-1.51536777","-0.13283537","-0.17560829"," 1.54100644","-0.59365186","-0.55509291","-0.78551823","-1.78784819"," 0.40442445"," 0.41440363"," 1.17994710"," 0.93656900","-1.78397391"," 0.82547051"," 0.57920166"," 0.36780749","-0.74871118"," 0.92245354","-0.74176571"," 0.08494297","-0.49692308"," 0.61995227","-2.93946094","-0.16447051","-0.77986387"
"Bin.9.10"," 0.01205862","-0.14003817"," 0.19334431","-0.56024589"," 0.27492408","-0.06090319","-0.14183847","-0.38165618","-0.02962935"," 0.23173996"," 0.13348536"," 0.57427620","-0.18903300"," 0.51772235"," 0.23798470"," 0.34693666","-0.19096940","-0.20988675"," 0.10924831"," 0.23085491"," 0.05825857","-0.56760330"," 0.14171084"," 0.56704324"," 0.34404405","-0.03250476"," 0.39103869"," 0.58371069"," 0.46919721","-0.63521183","-0.23662714"," 0.14121445","-0.06377640"," 0.58484302"," 0.20927826","-0.15760001","-0.15772389"," 0.03786017"," 0.40643055"," 0.38346976"," 0.06438330"," 0.02751794"," 0.85279813"," 0.18021314"," 0.56635746"," 0.19675076"," 0.50644397","-6.55522726"," 0.37577934"," 0.35955601"
"Bin.9.06","-0.336781931","-0.120416244"," 0.042244264","-1.565547195","-0.530597285"," 0.574598912","-0.065253900"," 0.052276966","-0.138042765"," 0.603512351"," 0.675920328","-0.127217403"," 0.398414305"," 0.311744974","-0.065253900"," 0.561569252","-0.091153649","-0.174782195","-0.101132913"," 0.672981325","-0.638268926","-0.887514008"," 0.291375851"," 0.454174343"," 0.006129601","-0.161555123"," 0.375386291"," 0.569321981"," 0.409477641"," 0.106586697"," 0.190072238"," 0.169587993","-0.170486386"," 0.810217553"," 0.455987206"," 0.339417083","-0.202874558","-0.061921597"," 0.431865051"," 0.421135132"," 0.048746896","-0.026873405"," 0.644875713"," 0.303612909"," 0.525680435","-0.022701834"," 0.445548377","-6.236367845"," 0.453680643"," 0.378600755"
"Bin.9.02"," 0.23927004"," 0.56537801","-0.11686006","-0.06491729","-0.52026401","-0.45542160","-0.07011940","-0.58388351","-0.02498398"," 0.21389906","-0.23481864"," 0.67968929"," 0.21902881"," 0.31834269"," 0.39855797","-0.40901764"," 0.28935471","-0.31845855"," 0.27835730","-0.01490937"," 0.01175559","-1.34355823","-0.21565818","-0.44861208"," 0.22069423"," 0.16231755"," 0.58288876"," 0.67786213"," 0.36850085","-0.65905964","-0.05140938"," 0.25135744"," 0.36933976"," 0.36933976"," 0.64163637"," 0.16636496","-0.02407699"," 0.16882632"," 0.57169605"," 0.54943285"," 0.26376437"," 0.03485213"," 0.76619562"," 0.34030861"," 0.68462049"," 0.08890213"," 0.21097080","-6.29251109"," 0.58150438"," 0.56353062"
"Bin.8.98","-2.57034815","-0.63080680","-0.71261585"," 0.04571741","-2.46419163"," 0.59026392","-0.63845218"," 0.68873567"," 0.67675400"," 1.02418506"," 0.23731224","-0.40700250"," 0.82775346","-0.28479400","-0.38424888","-1.40674737"," 0.81953013"," 0.09865201","-0.06618994","-0.19030377","-0.70165963","-0.64859849"," 0.27224345"," 0.38448506","-0.46047021"," 0.19547105"," 1.23818375"," 1.53482352"," 0.10008282","-0.06090922","-0.90965158"," 0.66541800","-0.37617785"," 0.32385885"," 0.18470553","-0.99884307","-1.54702828"," 0.60310289"," 0.87616223"," 1.12307158","-0.60380356","-0.76035996"," 1.43399314"," 1.31964897"," 1.61071529","-0.96593755"," 0.15452974","-2.00323168"," 1.16333587"," 1.59963652"
"Bin.8.94","-1.00939398","-0.02594323","-0.13608280","-0.21098684","-0.23599531","-0.91933967"," 0.03421276","-0.21426931"," 0.30882610"," 0.21606898","-0.08714607"," 0.28858630","-0.57389169","-0.10718669"," 0.08891948","-1.00702666"," 0.12269648","-0.27355660"," 0.20501945","-0.03519592","-0.08040753","-0.86248354","-0.08714607","-0.08040753"," 0.30038499"," 0.20220316"," 0.67652085"," 0.85642661"," 0.19279584"," 0.25878695"," 0.06230461"," 0.47864076"," 0.42972694"," 0.35812844"," 0.35457411"," 0.17178737"," 0.12139699"," 0.30508643"," 0.63634917"," 0.69294449"," 0.23612535"," 0.14766613"," 0.80862780"," 0.66823864"," 0.81226220"," 0.25141424"," 0.41212707","-6.18527681"," 0.73374453"," 0.69914304"
"Bin.8.90","-2.12063100","-0.32161347","-1.22846591"," 0.10811971","-1.81548205"," 0.53793402","-0.42022875"," 0.17537857"," 0.68363615"," 0.89586384"," 0.17821916"," 0.04779047"," 0.67243170"," 0.05003837","-0.15824286","-0.88382014"," 0.66546826"," 0.11625921"," 0.07485952","-0.26656859","-0.35428774","-0.61277496"," 0.03795392"," 0.39147676"," 0.02924867"," 0.06508503"," 1.14981159"," 0.94575701","-0.72522623"," 0.19824467","-0.96286373"," 0.60492870"," 0.20112588"," 0.31234469"," 0.33749955","-0.16951024","-1.50258836"," 0.02421416"," 0.91824697"," 0.90733610","-0.50210740","-0.37269205"," 1.38142758"," 1.21879558"," 1.51036261","-0.76203027"," 0.29798989","-4.12361787"," 1.18766826"," 1.37723503"
"Bin.8.86"," 0.4826339"," 1.2454688"," 1.9746486","-0.1224982","-0.5451846","-0.8288941","-0.2203279"," 0.5869720","-1.8870318"," 0.4640212","-0.1831015"," 0.9849814","-0.3741406"," 1.5371460","-0.7032850"," 0.7732824","-0.4746643","-1.2181912"," 0.2756447"," 1.5782380","-1.5377283","-1.1959362","-0.4986780"," 0.5026018"," 0.2318572","-1.8639373"," 0.2376610","-0.2718381"," 1.5194341","-0.5333739","-0.6669882","-0.6723878","-0.6696450"," 0.3562859"," 0.4710749"," 1.3550739"," 0.8204049","-0.9954821"," 0.9744286"," 0.7981946"," 0.2538428","-0.7370894"," 1.1876838","-0.3310803"," 0.4997742","-0.4304936"," 0.5541882","-2.9781567"," 0.4259883","-0.1513968"
"Bin.8.82"," 0.74367821"," 1.04130649"," 1.84694096","-0.52644575"," 0.32825690","-0.55610728","-0.19847231"," 0.44562011","-1.44287206"," 0.50102569","-0.63054684"," 1.66779639","-0.46222441"," 1.78164562","-0.24705231"," 0.84778032","-0.67615423","-1.02717126"," 0.39280527"," 1.41085225","-0.83432917","-0.88351546","-0.43145045"," 0.92025386"," 0.50533441","-1.56214665","-0.01963469","-0.41129500"," 1.51533357","-0.72952667","-0.98387001","-0.52261201","-0.90234278"," 0.52894274"," 0.20817344"," 0.79789894"," 0.93156319","-1.29901527"," 0.57730597"," 0.41188633"," 0.31653020","-0.81718701"," 1.13988055","-0.62810822"," 0.23388704","-0.31936376"," 0.73952933","-3.48061045"," 0.09851549","-0.34068927"
"Bin.8.78"," 0.795937833"," 1.045638560"," 0.664948166","-3.687996330","-0.674434030","-0.416592533","-1.240570628","-1.523760681","-0.589254333","-0.562413907","-0.031284829","-0.283984376","-0.567381980","-0.971962022"," 0.393676019"," 0.207683828","-0.363545011","-1.999364876","-0.599159490"," 0.941959226","-0.070542671","-1.863896700"," 0.423904824","-1.017204572","-0.078370972","-0.267163635"," 0.941381575"," 1.141178823"," 0.705652103"," 0.295899821","-1.227182467"," 0.401298141"," 0.857744560"," 1.375330934"," 0.769287375","-0.078642300","-0.157965250"," 0.121370284"," 0.821984456"," 0.712949335"," 0.135852825"," 0.241337729"," 1.736582488"," 0.610391716"," 1.220237001","-0.002976916"," 0.020601903","-0.450421873"," 1.212400700"," 0.930842157"
"Bin.8.74","-0.124830068","-0.286140352","-0.019724131","-3.545416129","-0.196551669","-0.493566303"," 0.100039940"," 0.101281937"," 0.302844116","-0.077332890","-0.008477214"," 0.048671445","-3.518144535","-0.214843209"," 0.141335470","-0.123253576"," 0.289218231","-0.063585942"," 0.193004421"," 0.047449085","-0.149341590"," 0.146063856"," 0.060531380","-4.004684584"," 0.366232627"," 0.342156015"," 0.655687649"," 0.628252830"," 0.473910068"," 0.646083639"," 0.237760646"," 0.506256882"," 0.544459722"," 0.470729269"," 0.404901206"," 0.350296509"," 0.255769455"," 0.420174958"," 0.551486926"," 0.610380766"," 0.320029514"," 0.258171467"," 0.729452818"," 0.563487568"," 0.728391343"," 0.350168319"," 0.443221573","-0.833597089"," 0.708695646"," 0.662891983"
"Bin.8.70","-0.22999156"," 0.08347417"," 0.09262225","-0.44153589","-0.20977609","-1.32607471"," 0.14811404"," 0.10116173"," 0.21546160","-0.10821782","-0.27878328"," 0.03948963","-4.28865611","-0.31211245"," 0.04382263","-0.22814353"," 0.20349464","-0.15819867"," 0.16598328"," 0.22324288","-0.23532846"," 0.36865632"," 0.01069327","-4.67381176"," 0.31316472"," 0.31742772"," 0.61203436"," 0.63472145"," 0.34463739"," 0.35026208"," 0.32273972"," 0.46345032"," 0.54342028"," 0.47368094"," 0.39097999"," 0.26467056"," 0.23955885"," 0.49631138"," 0.55852301"," 0.62267255"," 0.33257450"," 0.21897785"," 0.69590760"," 0.49598610"," 0.70224113"," 0.28862438"," 0.37269337","-0.55845649"," 0.65888049"," 0.63872962"
"Bin.8.66","-0.549105449","-0.275397129","-0.562571050","-1.433985137","-1.306829728","-0.934305367","-0.709864695","-1.982157563"," 0.208815733","-0.732093210","-0.963584420","-0.500595716","-1.173697898","-0.651241871","-0.022479723"," 0.009278525"," 0.572425842","-1.435870149","-0.111947403","-0.506902698","-0.216533976","-0.891041761","-0.239683919","-2.984366610"," 0.663600400"," 0.589713822"," 1.400014202"," 1.340099415"," 0.412234974"," 0.453192098","-0.528006574"," 0.644271786"," 0.689302358"," 1.159703684"," 0.722042926","-0.101543565","-0.079024940"," 0.501370324"," 0.930397532"," 1.167204704"," 0.119486212","-0.234751413"," 1.852702103"," 0.906661236"," 1.709653613"," 0.427863551"," 0.551924511","-0.842603054"," 1.474412610"," 1.463812854"
