Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Random Forest,14,0.9476,0.9495,0.9899,0.9463,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,15,0.9860,0.9861,0.9990,0.9726,"{'C': 10, 'max_iter': 10000}"
Random Forest,15,0.9650,0.9640,0.9964,0.9926,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,16,0.9825,0.9825,0.9955,0.9655,"{'C': 10, 'max_iter': 10000}"
Random Forest,16,0.9615,0.9625,0.9936,0.9592,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,17,0.9790,0.9776,0.9940,0.9632,"{'C': 10, 'max_iter': 10000}"
Random Forest,17,0.9510,0.9504,0.9909,0.9571,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,18,0.9860,0.9862,0.9995,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,18,0.9510,0.9485,0.9880,0.9556,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,19,0.9720,0.9728,0.9985,0.9795,"{'C': 10, 'max_iter': 10000}"
Random Forest,19,0.9545,0.9568,0.9889,0.9600,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,20,0.9755,0.9756,0.9956,0.9790,"{'C': 10, 'max_iter': 10000}"
Random Forest,20,0.9580,0.9568,0.9945,0.9500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,21,0.9720,0.9735,0.9933,0.9608,"{'C': 1, 'max_iter': 10000}"
Random Forest,21,0.9720,0.9730,0.9972,0.9730,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,22,0.9650,0.9627,0.9947,0.9699,"{'C': 10, 'max_iter': 10000}"
Random Forest,22,0.9441,0.9398,0.9897,0.9058,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,23,0.9755,0.9763,0.9977,0.9664,"{'C': 10, 'max_iter': 10000}"
Random Forest,23,0.9580,0.9586,0.9894,0.9586,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,24,0.9685,0.9677,0.9905,0.9574,"{'C': 1, 'max_iter': 10000}"
Random Forest,24,0.9650,0.9630,0.9938,0.9559,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,25,0.9650,0.9643,0.9923,0.9643,"{'C': 1, 'max_iter': 10000}"
Random Forest,25,0.9510,0.9527,0.9938,0.9592,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,26,0.9755,0.9756,0.9973,0.9790,"{'C': 10, 'max_iter': 10000}"
Random Forest,26,0.9580,0.9580,0.9965,0.9856,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,27,0.9755,0.9773,0.9947,0.9742,"{'C': 10, 'max_iter': 10000}"
Random Forest,27,0.9685,0.9686,0.9959,0.9653,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,28,0.9720,0.9683,0.9939,0.9531,"{'C': 10, 'max_iter': 10000}"
Random Forest,28,0.9580,0.9586,0.9898,0.9329,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,29,0.9790,0.9779,0.9936,0.9708,"{'C': 10, 'max_iter': 10000}"
Random Forest,29,0.9615,0.9642,0.9931,0.9737,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,30,0.9755,0.9754,0.9944,0.9720,"{'C': 10, 'max_iter': 10000}"
Random Forest,30,0.9580,0.9552,0.9936,0.9624,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
